Unique ID,Sub Variety,ITEM NAME
Bp586,Super Brown Sela,EXCESS EXPORT
Bp587,Super Brown Sela,WEIGHT LOSS
Bp588,Super Brown Steam,FINISHED GOODS
Bp589,Super Brown Steam,B-Q
Bp590,Super Brown Steam,B-1
Bp591,Super Brown Steam,B-2
Bp592,Super Brown Steam,B-2 CSR
Bp593,Super Brown Steam,B-3
Bp594,Super Brown Steam,CSR
Bp595,Super Brown Steam,PADDY
Bp596,Super Brown Steam,CHOBA
Bp597,Super Brown Steam,RICE POLISH
Bp598,Super Brown Steam,DUST
Bp599,Super Brown Steam,EMPTY BAGS WEIGHT
Bp600,Super Brown Steam,EXCESS EXPORT
Bp601,Super Brown Steam,WEIGHT LOSS
Bp602,1121 Brown,FINISHED GOODS
Bp603,1121 Brown,B-Q
Bp604,1121 Brown,B-1
Bp605,1121 Brown,B-2
Bp606,1121 Brown,B-2 CSR
Bp607,1121 Brown,B-3
Bp608,1121 Brown,CSR
Bp609,1121 Brown,PADDY
Bp610,1121 Brown,CHOBA
Bp611,1121 Brown,RICE POLISH
Bp612,1121 Brown,DUST
Bp613,1121 Brown,EMPTY BAGS WEIGHT
Bp614,1121 Brown,EXCESS EXPORT
Bp615,1121 Brown,WEIGHT LOSS
Bp616,1121 Brown Sela,FINISHED GOODS
Bp617,1121 Brown Sela,B-Q
Bp618,1121 Brown Sela,B-1
Bp619,1121 Brown Sela,B-2
Bp620,1121 Brown Sela,B-2 CSR
Bp621,1121 Brown Sela,B-3
Bp622,1121 Brown Sela,CSR
Bp623,1121 Brown Sela,PADDY
Bp624,1121 Brown Sela,CHOBA
Bp625,1121 Brown Sela,RICE POLISH
Bp626,1121 Brown Sela,DUST
Bp627,1121 Brown Sela,EMPTY BAGS WEIGHT
Bp628,1121 Brown Sela,EXCESS EXPORT
Bp629,1121 Brown Sela,WEIGHT LOSS
Bp630,1121 Brown Steam,FINISHED GOODS
Bp631,1121 Brown Steam,B-Q
Bp632,1121 Brown Steam,B-1
Bp633,1121 Brown Steam,B-2
Bp634,1121 Brown Steam,B-2 CSR
Bp635,1121 Brown Steam,B-3
Bp636,1121 Brown Steam,CSR
Bp637,1121 Brown Steam,PADDY
Bp638,1121 Brown Steam,CHOBA
Bp639,1121 Brown Steam,RICE POLISH
Bp640,1121 Brown Steam,DUST
Bp641,1121 Brown Steam,EMPTY BAGS WEIGHT
Bp642,1121 Brown Steam,EXCESS EXPORT
Bp643,1121 Brown Steam,WEIGHT LOSS
Bp644,1509 Brown,FINISHED GOODS
Bp645,1509 Brown,B-Q
Bp646,1509 Brown,B-1
Bp647,1509 Brown,B-2
Bp648,1509 Brown,B-2 CSR
Bp649,1509 Brown,B-3
Bp650,1509 Brown,CSR
Bp651,1509 Brown,PADDY
Bp652,1509 Brown,CHOBA
Bp653,1509 Brown,RICE POLISH
Bp654,1509 Brown,DUST
Bp655,1509 Brown,EMPTY BAGS WEIGHT
Bp656,1509 Brown,EXCESS EXPORT
Bp657,1509 Brown,WEIGHT LOSS
Bp658,1509 Brown Sela,FINISHED GOODS
Bp659,1509 Brown Sela,B-Q
Bp660,1509 Brown Sela,B-1
Bp661,1509 Brown Sela,B-2
Bp662,1509 Brown Sela,B-2 CSR
Bp663,1509 Brown Sela,B-3
Bp664,1509 Brown Sela,CSR
Bp665,1509 Brown Sela,PADDY
Bp666,1509 Brown Sela,CHOBA
Bp667,1509 Brown Sela,RICE POLISH
Bp668,1509 Brown Sela,DUST
Bp669,1509 Brown Sela,EMPTY BAGS WEIGHT
Bp670,1509 Brown Sela,EXCESS EXPORT
Bp671,1509 Brown Sela,WEIGHT LOSS
Bp672,1509 Brown Steam,FINISHED GOODS
Bp673,1509 Brown Steam,B-Q
Bp674,1509 Brown Steam,B-1
Bp675,1509 Brown Steam,B-2
Bp676,1509 Brown Steam,B-2 CSR
Bp677,1509 Brown Steam,B-3
Bp678,1509 Brown Steam,CSR
Bp679,1509 Brown Steam,PADDY
Bp680,1509 Brown Steam,CHOBA
Bp681,1509 Brown Steam,RICE POLISH
Bp682,1509 Brown Steam,DUST
Bp683,1509 Brown Steam,EMPTY BAGS WEIGHT
Bp684,1509 Brown Steam,EXCESS EXPORT
Bp685,1509 Brown Steam,WEIGHT LOSS
Bp686,Super Chanab Brown,FINISHED GOODS
Bp687,Super Chanab Brown,B-Q
Bp688,Super Chanab Brown,B-1
Bp689,Super Chanab Brown,B-2
Bp690,Super Chanab Brown,B-2 CSR
